Search term,Type,Category,Country,Attraction,Date rated,Terrible,Poor,Average,Very Good,Excellent,Total reviews,Terrible_reviews_not_due_to_conservation_or_welfare,Poor_reviews_not_due_to_conservation_or_welfare,Negative,Positive,Percentage
Bear,Bear park,Captive,Japan,Bear Mountain Sahoro,10/9/14,0,1,3,16,19,39,0,1,0,35,0.0
Bear,Bear park,Captive,Japan,Noboribetsu Bear Park,10/9/14,6,5,36,54,29,130,2,4,5,83,5.7
Civet,Civet coffee farm,Farm,Indonesia,Luwak Civet Coffee Farm ,9/22/14,14,3,16,34,22,89,2,1,14,56,20.0
Crocodile ,Crocodile farm,Farm,Malaysia,Zoo,12/3/14,7,3,17,2,4,33,1,1,8,6,57.1
Crocodile ,Crocodile farm,Farm,Cambodia,Crocodile farm ,12/3/14,9,9,19,4,5,46,0,1,17,9,65.4
Crocodile ,Crocodile farm,Farm,South Africa,Farm,12/3/14,2,6,22,31,21,82,0,4,4,52,7.1
Crocodile ,Crocodile farm,Farm,Thailand,Crocodile show,12/3/14,27,6,22,16,14,85,0,0,33,30,52.4
Crocodile ,Crocodile farm,Farm,South Africa,Feeding,12/3/14,3,2,13,30,37,85,2,2,1,67,1.5
Crocodile ,Crocodile farm,Farm,Malaysia,Crocodile feeding,12/3/14,14,6,29,39,11,99,1,0,19,50,27.5
Crocodile ,Crocodile farm,Farm,Malaysia,Crocodile feeding,12/3/14,44,22,21,24,8,119,3,5,58,32,64.4
Crocodile ,Crocodile farm,Farm,Gambia,Crocodile petting,12/3/14,2,7,25,69,50,153,2,2,5,119,4.0
Crocodile ,Crocodile farm,Farm,Australia,"Egg laying, interaction",12/3/14,6,2,7,25,15,55,6,1,1,40,2.4
Crocodile ,Crocodile farm,Farm,USA,Crocodile exhibit,12/3/14,2,2,5,20,44,73,1,2,1,64,1.5
Crocodile ,Crocodile farm,Farm,Thailand,Crocodile show,12/3/14,46,14,42,41,31,174,0,1,59,72,45.0
Crocodile ,Crocodile farm,Farm,Philippines,Crocodile show,12/3/14,5,10,51,78,32,176,1,4,10,110,8.3
Crocodile ,Crocodile farm,Farm,France,Crocodile farm ,12/3/14,4,9,39,135,89,276,3,9,1,224,0.4
Crocodile ,Crocodile farm,Farm,Australia ,Crocodile feeding,12/3/14,1,3,37,225,659,925,1,1,2,884,0.2
Dolphin,Dolphin interactions (captive),Captive,Mexico,Dolphin Discovery (Six Flags),10/28/14,1,1,3,9,22,36,1,1,0,31,0.0
Dolphin,Dolphin interactions (captive),Captive,Honduras,Dolphin Encounter,10/28/14,0,0,4,4,32,40,0,0,0,36,0.0
Dolphin,Dolphin interactions (captive),Captive,USA,Cruise Orange Beach Dolphin Cruises,10/28/14,0,0,1,0,49,50,0,0,0,49,0.0
Dolphin,Dolphin interactions (captive),Captive,Mexico,Dolphin Discovery (Mahahual),10/28/14,2,0,3,12,35,52,1,0,1,47,2.1
Dolphin,Dolphin interactions (captive),Captive,Mexico,Dolphin Discovery (Cozumel),10/28/14,1,4,1,15,34,55,1,4,0,49,0.0
Dolphin,Dolphin interactions (captive),Captive,Indonesia,Melka Excelsior Dolphin & Wildlife Resort,10/24/14,26,4,10,14,22,76,1,1,28,36,43.8
Dolphin,Dolphin interactions (captive),Captive,Thailand,Pattaya Dolphin World,10/22/14,12,12,17,17,20,78,4,8,12,37,24.5
Dolphin,Dolphin interactions (captive),Captive,Mexico,Dolphin Discovery (Akumal),10/28/14,2,3,12,12,54,83,1,2,2,66,2.9
Dolphin,Dolphin interactions (captive),Captive,Indonesia,Bali Dolphins - Bali Dolphin Interaction,10/23/14,11,3,4,23,93,134,8,3,3,116,2.5
